unit_name,lesson_name,LO_name,LO_id,nonscorable
Unit 4,Lesson 4,Pre-reading/listening,lo105,FALSE
Unit 4,Lesson 4,readling/listening,lo106,FALSE
Unit 4,Lesson 4,writing practice,lo107,FALSE
Unit 4,Lesson 4,free-writing activity,lo108,TRUE
Unit 4,Lesson 5,grammar and vocab review,lo109,FALSE
Unit 4,Lesson 5,useful language 1,lo110,FALSE
Unit 4,Lesson 5,useful language 2,lo111,FALSE
Unit 4,Lesson 5,Free speaking activity,lo112,TRUE
Unit 5,Lesson 1,Vocab catch-up,lo113,FALSE
Unit 5,Lesson 1,Vocabulary 1,lo114,FALSE
Unit 5,Lesson 1,Vocabulary 2,lo115,FALSE
Unit 5,Lesson 1,Vocabulary 3,lo116,FALSE
Unit 5,Lesson 1,Vocabulary 4,lo117,FALSE
Unit 5,Lesson 1,Grammar catch-up,lo118,FALSE
Unit 5,Lesson 1,Grammar activity 1,lo119,FALSE
Unit 5,Lesson 1,Grammar activity 2,lo120,FALSE
Unit 5,Lesson 1,Grammar activity 3,lo121,FALSE
Unit 5,Lesson 2,Vocab catch-up,lo122,FALSE
Unit 5,Lesson 2,Vocabulary 1,lo123,FALSE
Unit 5,Lesson 2,Vocabulary 2,lo124,FALSE
Unit 5,Lesson 2,Grammar catch-up,lo125,FALSE
Unit 5,Lesson 2,Grammar activity 1,lo126,FALSE
Unit 5,Lesson 2,Grammar activity 2,lo127,FALSE
Unit 5,Lesson 2,Grammar activity 3,lo128,FALSE
Unit 5,Lesson 3,Functional language activity,lo129,FALSE
Unit 5,Lesson 3,Real world strategy,lo130,FALSE
Unit 5,Lesson 3,Audio Roleplay,lo131,TRUE
Unit 5,Lesson 3,Audio Roleplay,lo132,TRUE
Unit 5,Lesson 4,Pre-reading/listening,lo133,FALSE
Unit 5,Lesson 4,readling/listening,lo134,FALSE
Unit 5,Lesson 4,writing practice,lo135,FALSE
Unit 5,Lesson 4,free-writing activity,lo136,TRUE
Unit 5,Lesson 5,grammar and vocab review,lo137,FALSE
Unit 5,Lesson 5,useful language 1,lo138,FALSE
Unit 5,Lesson 5,useful language 2,lo139,FALSE
Unit 5,Lesson 5,Free speaking activity,lo140,TRUE
Unit 6,Lesson 1,Vocab catch-up,lo141,FALSE
Unit 6,Lesson 1,Vocabulary 1,lo142,FALSE
Unit 6,Lesson 1,Vocabulary 2,lo143,FALSE
Unit 6,Lesson 1,Vocabulary 3,lo144,FALSE
Unit 6,Lesson 1,Vocabulary 4,lo145,FALSE
Unit 6,Lesson 1,Grammar catch-up,lo146,FALSE
Unit 6,Lesson 1,Grammar activity 1,lo147,FALSE
Unit 6,Lesson 1,Grammar activity 2,lo148,FALSE
Unit 6,Lesson 1,Grammar activity 3,lo149,FALSE
Unit 6,Lesson 2,Vocab catch-up,lo150,FALSE
Unit 6,Lesson 2,Vocabulary 1,lo151,FALSE
Unit 6,Lesson 2,Vocabulary 2,lo152,FALSE
Unit 6,Lesson 2,Grammar catch-up,lo153,FALSE
Unit 6,Lesson 2,Grammar activity 1,lo154,FALSE
Unit 6,Lesson 2,Grammar activity 2,lo155,FALSE
Unit 6,Lesson 2,Grammar activity 3,lo156,FALSE
Unit 6,Lesson 3,Functional language activity,lo157,FALSE
Unit 6,Lesson 3,Real world strategy,lo158,FALSE
Unit 6,Lesson 3,Audio Roleplay,lo159,TRUE
Unit 6,Lesson 3,Audio Roleplay,lo160,TRUE
Unit 6,Lesson 4,Pre-reading/listening,lo161,FALSE
Unit 6,Lesson 4,readling/listening,lo162,FALSE
Unit 6,Lesson 4,writing practice,lo163,FALSE
Unit 6,Lesson 4,free-writing activity,lo164,TRUE
Unit 6,Lesson 5,grammar and vocab review,lo165,FALSE
Unit 6,Lesson 5,useful language 1,lo166,FALSE
Unit 6,Lesson 5,useful language 2,lo167,FALSE
Unit 6,Lesson 5,Free speaking activity,lo168,TRUE
Unit 7,Lesson 1,Vocab catch-up,lo169,FALSE
Unit 7,Lesson 1,Vocabulary 1,lo170,FALSE
Unit 7,Lesson 1,Vocabulary 2,lo171,FALSE
Unit 7,Lesson 1,Vocabulary 3,lo172,FALSE
Unit 7,Lesson 1,Vocabulary 4,lo173,FALSE
Unit 7,Lesson 1,Grammar catch-up,lo174,FALSE
Unit 7,Lesson 1,Grammar activity 1,lo175,FALSE
Unit 7,Lesson 1,Grammar activity 2,lo176,FALSE
Unit 7,Lesson 1,Grammar activity 3,lo177,FALSE
Unit 7,Lesson 2,Vocab catch-up,lo178,FALSE
Unit 7,Lesson 2,Vocabulary 1,lo179,FALSE
Unit 7,Lesson 2,Vocabulary 2,lo180,FALSE
Unit 7,Lesson 2,Grammar catch-up,lo181,FALSE
Unit 7,Lesson 2,Grammar activity 1,lo182,FALSE
Unit 7,Lesson 2,Grammar activity 2,lo183,FALSE
Unit 7,Lesson 2,Grammar activity 3,lo184,FALSE
Unit 7,Lesson 3,Functional language activity,lo185,FALSE
Unit 7,Lesson 3,Real world strategy,lo186,FALSE
Unit 7,Lesson 3,Audio Roleplay,lo187,TRUE
Unit 7,Lesson 3,Audio Roleplay,lo188,TRUE
Unit 7,Lesson 4,Pre-reading/listening,lo189,FALSE
Unit 7,Lesson 4,readling/listening,lo190,FALSE
Unit 7,Lesson 4,writing practice,lo191,FALSE
Unit 7,Lesson 4,free-writing activity,lo192,TRUE
Unit 7,Lesson 5,grammar and vocab review,lo193,FALSE
Unit 7,Lesson 5,useful language 1,lo194,FALSE
Unit 7,Lesson 5,useful language 2,lo195,FALSE
Unit 7,Lesson 5,Free speaking activity,lo196,TRUE
Unit 8,Lesson 1,Vocab catch-up,lo197,FALSE
Unit 8,Lesson 1,Vocabulary 1,lo198,FALSE
Unit 8,Lesson 1,Vocabulary 2,lo199,FALSE
Unit 8,Lesson 1,Vocabulary 3,lo200,FALSE
Unit 8,Lesson 1,Vocabulary 4,lo201,FALSE
Unit 8,Lesson 1,Grammar catch-up,lo202,FALSE
Unit 8,Lesson 1,Grammar activity 1,lo203,FALSE
Unit 8,Lesson 1,Grammar activity 2,lo204,FALSE
Unit 8,Lesson 1,Grammar activity 3,lo205,FALSE
Unit 8,Lesson 2,Vocab catch-up,lo206,FALSE
Unit 8,Lesson 2,Vocabulary 1,lo207,FALSE
Unit 8,Lesson 2,Vocabulary 2,lo208,FALSE
Unit 8,Lesson 2,Grammar catch-up,lo209,FALSE
Unit 8,Lesson 2,Grammar activity 1,lo210,FALSE
Unit 8,Lesson 2,Grammar activity 2,lo211,FALSE
Unit 8,Lesson 2,Grammar activity 3,lo212,FALSE
Unit 8,Lesson 3,Functional language activity,lo213,FALSE
Unit 8,Lesson 3,Real world strategy,lo214,FALSE
Unit 8,Lesson 3,Audio Roleplay,lo215,TRUE
Unit 8,Lesson 3,Audio Roleplay,lo216,TRUE
Unit 8,Lesson 4,Pre-reading/listening,lo217,FALSE
Unit 8,Lesson 4,readling/listening,lo218,FALSE
Unit 8,Lesson 4,writing practice,lo219,FALSE
Unit 8,Lesson 4,free-writing activity,lo220,TRUE
Unit 8,Lesson 5,grammar and vocab review,lo221,FALSE
Unit 8,Lesson 5,useful language 1,lo222,FALSE
Unit 8,Lesson 5,useful language 2,lo223,FALSE
Unit 8,Lesson 5,Free speaking activity,lo224,TRUE
Unit 9,Lesson 1,Vocab catch-up,lo225,FALSE
Unit 9,Lesson 1,Vocabulary 1,lo226,FALSE
Unit 9,Lesson 1,Vocabulary 2,lo227,FALSE
Unit 9,Lesson 1,Vocabulary 3,lo228,FALSE
Unit 9,Lesson 1,Vocabulary 4,lo229,FALSE
Unit 9,Lesson 1,Grammar catch-up,lo230,FALSE
Unit 9,Lesson 1,Grammar activity 1,lo231,FALSE
Unit 9,Lesson 1,Grammar activity 2,lo232,FALSE
Unit 9,Lesson 1,Grammar activity 3,lo233,FALSE
Unit 9,Lesson 2,Vocab catch-up,lo234,FALSE
Unit 9,Lesson 2,Vocabulary 1,lo235,FALSE
Unit 9,Lesson 2,Vocabulary 2,lo236,FALSE
Unit 9,Lesson 2,Grammar catch-up,lo237,FALSE
Unit 9,Lesson 2,Grammar activity 1,lo238,FALSE
Unit 9,Lesson 2,Grammar activity 2,lo239,FALSE
Unit 9,Lesson 2,Grammar activity 3,lo240,FALSE
Unit 9,Lesson 3,Functional language activity,lo241,FALSE
Unit 9,Lesson 3,Real world strategy,lo242,FALSE
